Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,SF,Tot
"Anderson, Frank",-,-,-,-,-,-,-,-,,-,-,,,,-,,
"Atkinson, Bob",-,-,,-,-,-,-,-,-,-,-,-,,-,-,,
"Baird, Jim",10,3,2,,,,,,,,,,,,-,-,15.0
"Bennett, Jack",-,-,2,-,-,2,,,-,,1,1,-,2,1,2,11.0
"Boys, Ron",,,,,,,,,,,,,,,-,-,
"Brown, Vin",-,-,-,-,-,-,-,-,-,-,-,-,,2,,-,2.0
"Chitty, Bob",1,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,5.0
"Clark, Jim",,,,,,-,-,-,-,-,-,-,-,-,-,-,
"Collins, Lance",1,-,3,2,,2,3,5,,,,,,,,,16.0
"Deacon, Bert",,,,,,,-,-,,,,,,,,,
"Dillon, Tom",-,,,-,-,-,1,-,,,,,1,1,1,-,4.0
"Fitzgibbon, Fred",-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,3.0
"Francis, Jim",,,,,,,-,-,4,2,8,1,-,,,,15.0
"Gniel, George",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Green, Bob",,,,-,-,1,-,-,-,-,1,3,-,-,-,-,5.0
"Hines, Ron",,,,,,,,,,,,,1,,,-,1.0
"Howell, Jack",-,-,1,-,-,,,,1,-,,-,,1,,-,3.0
"Knight, Jim",1,-,-,-,,,,,,,,,,,,,1.0
"McInnes, Charlie",1,2,-,2,-,-,3,2,-,2,4,-,2,6,2,-,26.0
"McLean, Ken",-,1,2,,-,,,,,,,,,,,,3.0
"Mooring, Jim",-,1,-,4,1,1,3,2,3,1,2,1,1,-,4,-,24.0
"Price, Mick",,,,,1,4,3,1,3,2,5,3,1,2,1,1,27.0
"Rae, Keith",-,-,-,1,,,-,-,-,-,-,-,-,1,-,,2.0
"Rayson, Alan",,,,,,,,,1,1,,,,,,,2.0
"Sanger, Arthur",-,-,-,-,-,-,,,-,-,-,-,-,,,,
"Savage, Ron",-,-,-,1,-,-,2,-,-,-,-,-,1,-,-,-,4.0
"Sleith, Arthur",,,-,,,,,,,,,,,,,,
"Tucker, Neil",,,,,-,-,,,,,,,,,,,
"Tudor, Graham",,,,,1,-,-,,,,,-,-,-,1,,2.0
"Tuohill, Ted",,-,-,-,,,,1,-,-,-,2,-,-,,-,3.0
"Wilson, Max",,,,,,,,,,,-,,-,-,-,-,
"Wrout, Jack",3,1,1,2,4,-,-,3,4,1,7,2,3,-,-,2,33.0
Totals,17,8,12,12,9,11,15,15,16,11,28,13,10,15,10,5,207.0
Opponent,RI,FO,CW,SK,ES,ME,FI,SM,HW,NM,CW,HW,ES,NM,FI,FI,
