Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Baggott, Jack",,,,,,,,,,,,,,-,-,,-,-,-,-,
"Baxter, Dave",2,1,,3,-,1,2,-,-,,1,1,1,,,3,1,1,1,1,19.0
"Bentley, Perce",-,1,1,1,1,1,,-,-,-,1,4,1,2,-,,-,-,3,2,18.0
"Bolger, Martin",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Chirgwin, Dick",,,,,,,,,,,,,-,,,,,,,,
"Dyer, Jack",,,-,-,,1,1,-,-,2,,1,-,1,-,1,,-,1,-,8.0
"Edmonds, Horrie",,,,,,,,,-,1,-,-,1,-,1,1,2,2,-,-,8.0
"Foster, Bert",1,-,1,-,-,-,-,,-,-,-,-,-,-,-,-,1,1,-,-,4.0
"Garvie, Bill",,,-,-,-,,,-,,,,,,,,,,,,,
"Geddes, Allan",-,-,-,,-,-,-,-,-,-,-,-,,1,-,1,-,-,-,-,2.0
"Guinane, Danny",-,-,,,1,-,-,,,,,,,,-,,,,,,1.0
"Harris, Dick",2,3,3,1,1,5,1,2,3,1,5,3,1,5,3,2,1,2,4,3,51.0
"Heifner, Fred",,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,,,1.0
"Jordon, Clarrie",,,,-,1,,,-,,,-,-,,,,1,,,,,2.0
"Judkins, Stan",-,-,-,-,,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1.0
"Martin, Ray",2,2,1,1,3,-,1,1,-,2,-,-,-,-,1,,3,1,2,2,22.0
"McConchie, Jock",2,,-,-,,,,,,,,,,,,,,,,,2.0
"McCormack, Basil",-,-,-,-,-,-,-,-,1,-,,,,-,-,-,-,-,-,-,1.0
"Murdoch, Joe",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,1,5.0
"OHalloran, Tom",-,-,,,,,2,-,,,-,,-,,,1,-,2,2,3,10.0
"ONeill, Kevin",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Saunders, Richie",,,,,-,-,-,-,,-,-,,,,,,,,,,
"Sheahan, Maurie",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,2,-,-,-,2.0
"Stenhouse, Jack",-,,-,,,,,,,,,-,-,,,,-,-,,,
"Strang, Doug",,4,,,,,,,,,,,,2,-,2,-,,,,8.0
"Strang, Gordon",1,-,2,3,2,2,2,-,-,-,2,2,-,-,-,-,,,-,-,16.0
"Symons, Jack",,,,,,,,,-,1,-,,,,,,,,,,1.0
"Titus, Jack",8,2,5,-,6,6,6,4,-,3,6,3,3,4,4,3,4,2,5,6,80.0
"Zschech, Eric",-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,4.0
Totals,18,13,14,9,15,16,16,9,4,10,15,14,7,16,12,15,14,11,19,19,266.0
Opponent,ME,SK,CA,CW,ES,SM,HW,FO,GE,FI,NM,ME,SK,CA,CW,ES,SM,HW,GE,SM,
